player_name,player_name_norm,player_id,transfer_date,from_club_id,to_club_id,from_league,to_league,GA90_pre,GA90_post,PerfChange_1y,DeclineFlag_1y,PreMinutes,PostMinutes,InsufficientPreData,InsufficientPostData,UsedPostWindowDays,fbref_name,Position,OUT_GA90_pre,OUT_GA90_post,OUT_PerfChange_1y,OUT_DeclineFlag_1y,OUT_PreMinutes,OUT_PostMinutes,OUT_InsufficientPreData,OUT_InsufficientPostData,OUT_UsedPostWindowDays
Musa Toure,musa toure,1069960,2025-02-03,3524,5724,FR1,DK1,,,,,0.0,0.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Álvaro Morata,lvaro morata,128223,2025-02-02,5,141,IT1,TR1,0.4227005870841487,0.6749999999999999,0.25229941291585123,,2555.0,400.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Uroš Račić,uro rai,417575,2025-02-01,6574,1075,IT1,PO1,0.34220532319391633,0.627177700348432,0.2849723771545157,,526.0,287.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Melker Widell,melker widell,579295,2025-02-01,2288,1053,GB1,DK1,0.2262727844123193,0.4205607476635514,0.1942879632512321,,1591.0,214.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Luke Plange,luke plange,586986,2025-02-01,873,987,GB1,SC1,0.22113022113022113,0.0,-0.22113022113022113,,407.0,125.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Manolis Siopis,manolis siopis,182688,2025-01-31,603,265,GB1,GR1,0.0,0.0,0.0,,14.0,320.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Festy Ebosele,festy ebosele,586756,2025-01-31,410,6890,IT1,TR1,0.0,0.0,0.0,,344.0,1.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Matthew Hoppe,matthew hoppe,678194,2025-01-31,641,5817,GB1,DK1,,0.0,,,0.0,74.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Milan Škriniar,milan kriniar,204069,2025-01-30,583,36,FR1,TR1,0.0,0.32432432432432434,0.32432432432432434,0.0,800.0,1110.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Allan Campbell,allan campbell,347619,2025-01-30,1031,1519,GB1,SC1,0.0,0.0,0.0,,119.0,552.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Lucas Perrin,lucas perrin,352392,2025-01-30,41,520,L1,BE1,0.0,0.0,0.0,1.0,1193.0,495.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Koen Kostons,koen kostons,453121,2025-01-30,127,601,L1,BE1,,0.34615384615384615,,,0.0,260.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Jean-Kévin Duverne,jean-kvin duverne,344864,2025-01-29,995,601,FR1,BE1,0.0,0.4285714285714286,0.4285714285714286,0.0,899.0,630.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Hevertton,hevertton,695121,2025-01-29,1039,2420,GB1,PO1,0.08571428571428572,0.0,-0.08571428571428572,,1050.0,250.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Ali Jasim,ali jasim,877672,2025-01-28,1047,723,IT1,NL1,0.0,1.0244802172516936,0.5616045237137366,,9.0,63.0,1,0,365.0,,,0,1,1,0,0,0,0,1,1
Jota,jota,329812,2025-01-27,273,371,FR1,SC1,0.2719033232628399,0.7814761215629523,0.5095727983001124,,331.0,691.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Nicholas Gioacchini,nicholas gioacchini,704156,2025-01-26,1047,6676,IT1,GR1,,0.0,,,0.0,249.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Sergio Bermejo,sergio bermejo,372051,2025-01-24,142,2424,ES1,PO1,0.0,0.0,0.0,,90.0,404.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Diego Carlos,diego carlos,329145,2025-01-23,405,36,GB1,TR1,0.0,0.0,0.0,,2334.0,83.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Hjalmar Ekdal,hjalmar ekdal,392179,2025-01-23,1132,202,GB1,NL1,0.0,0.0,0.0,,291.0,720.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Ellery Balcombe,ellery balcombe,456292,2025-01-23,1148,987,GB1,SC1,0.04,0.1111111111111111,0.0711111111111111,0.0,2250.0,810.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Mateusz Wieteska,mateusz wieteska,208172,2025-01-22,1390,1091,IT1,GR1,0.0,0.0,0.0,1.0,753.0,630.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Simon Elisor,simon elisor,804661,2025-01-22,347,3329,FR1,PO1,,0.34090909090909094,,,0.0,264.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Jakub Moder,jakub moder,384461,2025-01-20,1237,234,GB1,NL1,0.0,0.24434389140271492,0.24434389140271492,0.0,771.0,1105.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Rafael Fernandes,rafael fernandes,744074,2025-01-18,1082,124,FR1,SC1,0.0,0.0,0.0,,75.0,71.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Andreas Jungdal,andreas jungdal,592924,2025-01-16,2239,968,IT1,BE1,,0.0,,,0.0,720.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
François Mughe,franois mughe,1027216,2025-01-16,244,3062,FR1,GR1,,0.0,,,0.0,267.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Adryelson,adryelson,373433,2025-01-15,1041,58,FR1,BE1,0.0,0.12465373961218837,0.12465373961218837,,5.0,722.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Naci Ünüvar,naci nvar,508639,2025-01-15,714,610,ES1,NL1,0.5465587044534413,0.0,-0.40668288180712353,,494.0,345.0,0,0,365.0,,,0,0,1,0,0,0,0,1,1
Rui Silva,rui silva,234811,2025-01-14,150,336,ES1,PO1,0.0,0.0,0.0,1.0,3060.0,1170.0,0,0,365.0,,,0,0,0,0,1,0,0,0,1
Christopher Operi,christopher operi,469976,2025-01-13,738,6890,FR1,TR1,0.25,0.0,-0.25,,2520.0,192.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Calvin Ramsay,calvin ramsay,633652,2025-01-13,31,2553,GB1,SC1,0.0,0.0,0.0,,146.0,94.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Attila Szalai,attila szalai,263380,2025-01-12,533,3057,L1,BE1,0.0,0.0,0.0,,101.0,244.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Archie Mair,archie mair,447063,2025-01-11,1123,987,GB1,SC1,,0.0,,,0.0,180.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Sébastien Haller,sbastien haller,181375,2025-01-09,16,200,L1,NL1,0.3005008347245409,0.37815126050420167,0.07765042577966075,0.0,599.0,952.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Sydney van Hooijdonk,sydney van hooijdonk,439292,2025-01-09,1429,132,IT1,NL1,0.0,0.11406844106463877,0.11406844106463877,,234.0,789.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Andy Fisher,andy fisher,359199,2025-01-07,2288,2578,GB1,SC1,,0.0,,,0.0,1080.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Olivier Deman,olivier deman,621802,2025-01-07,86,1096,L1,BE1,0.14802631578947367,0.0,-0.14802631578947367,1.0,608.0,892.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Ryotaro Tsunoda,ryotaro tsunoda,662493,2025-01-07,603,601,GB1,BE1,0.11349306431273644,0.0,-0.11349306431273644,1.0,793.0,454.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Andréas Hountondji,andras hountondji,704155,2025-01-07,1132,3057,GB1,BE1,0.0,0.5825242718446603,0.5616045237137366,,90.0,309.0,1,0,365.0,,,0,0,1,0,0,0,0,1,1
Steve Ngoura,steve ngoura,923838,2025-01-07,738,520,FR1,BE1,0.36144578313253006,0.0,-0.36144578313253006,,498.0,21.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Kieran Phillips,kieran phillips,610850,2025-01-06,1110,2759,GB1,SC1,,0.40358744394618834,,,0.0,669.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Milos Lukovic,milos lukovic,845872,2025-01-06,667,306,FR1,NL1,0.0,0.3536345776031434,0.3536345776031434,,11.0,509.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Nelson Abbey,nelson abbey,566677,2025-01-03,2288,683,GB1,GR1,0.0,0.0,0.0,,148.0,455.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Maxime Busi,maxime busi,570817,2025-01-03,1421,132,FR1,NL1,0.0,0.0,0.0,,41.0,738.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Isak Hansen-Aarøen,isak hansen-aaren,670116,2025-01-03,86,1053,L1,DK1,0.0,0.0,0.0,,25.0,411.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Jordy de Wijs,jordy de wijs,215096,2025-01-02,38,306,L1,NL1,0.0,0.0,0.0,,88.0,188.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Dejan Lovren,dejan lovren,37838,2024-09-16,1041,1091,FR1,GR1,0.0,0.0,0.0,1.0,721.0,780.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Roland Sallai,roland sallai,332798,2024-09-13,60,141,L1,TR1,0.3486870426173052,0.19148936170212766,-0.15719768091517755,1.0,2323.0,1410.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
David Datro Fofana,david datro fofana,787232,2024-09-13,631,1467,GB1,TR1,0.3905765654060756,0.6382978723404256,0.24772130693434996,,1613.0,282.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
César Montes,csar montes,387687,2024-09-12,3302,932,ES1,RU1,0.0,0.1405152224824356,0.1405152224824356,0.0,1798.0,1281.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Marvin Cuni,marvin cuni,453864,2024-09-11,8970,2698,IT1,RU1,0.34090909090909094,0.0,-0.34090909090909094,1.0,528.0,708.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Eddie Salcedo,eddie salcedo,459661,2024-09-11,46,653,IT1,GR1,,0.6075949367088608,,,0.0,1185.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
David Okereke,david okereke,413605,2024-09-10,2239,2832,IT1,TR1,0.25069637883008355,0.513405590416429,0.2627092115863454,,359.0,1753.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Filip Kostić,filip kosti,161011,2024-09-09,506,36,IT1,TR1,0.1768172888015717,0.3793466807165437,0.20252939191497202,0.0,2036.0,1898.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Ivo Grbic,ivo grbic,226073,2024-09-09,350,126,GB1,TR1,0.0,0.0,0.0,1.0,952.0,1260.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Antonín Barák,antonn bark,272261,2024-09-07,430,10484,IT1,TR1,0.45685279187817257,0.2158273381294964,-0.24102545374867618,1.0,985.0,834.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Dennis Praet,dennis praet,129588,2024-09-06,1003,1096,GB1,BE1,,0.11015911872705017,,,0.0,817.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Ui-jo Hwang,ui-jo hwang,260166,2024-09-06,703,11282,GB1,TR1,0.5389221556886228,0.5065666041275797,-0.03235555156104308,,334.0,1066.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Hasan Kuruçay,hasan kuruay,292812,2024-09-06,23,2727,L1,BE1,,0.057803468208092484,,,0.0,1557.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Josip Brekalo,josip brekalo,293169,2024-09-06,430,10484,IT1,TR1,0.14827018121911037,0.41033434650455924,0.26206416528544885,0.0,607.0,1316.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Karol Fila,karol fila,385817,2024-09-06,667,9010,FR1,BE1,0.0,0.24390243902439024,0.24390243902439024,,4.0,369.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Billal Brahimi,billal brahimi,543051,2024-09-06,417,475,FR1,BE1,0.0,0.24096385542168675,0.24096385542168675,,263.0,1494.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Stefan Mitrović,stefan mitrovi,726526,2024-09-06,276,2727,IT1,BE1,0.0,0.21360759493670886,0.21360759493670886,0.0,601.0,1264.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Colin Dagba,colin dagba,460629,2024-09-05,583,41274,FR1,BE1,,0.06554989075018208,,,0.0,1373.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Alfie Devine,alfie devine,728734,2024-09-05,148,968,GB1,BE1,,0.2236024844720497,,,0.0,1610.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Victor Osimhen,victor osimhen,401923,2024-09-04,6195,141,IT1,TR1,0.7313769751693002,1.0244802172516936,0.49729196681022203,0.0,2215.0,2344.0,0,0,365.0,,,0,1,0,0,0,0,0,0,1
Azzedine Ounahi,azzedine ounahi,593482,2024-09-04,244,265,FR1,GR1,0.1023308698123934,0.40298507462686567,0.30065420481447225,0.0,1759.0,1340.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Samuel Edozie,samuel edozie,680806,2024-09-04,180,58,GB1,BE1,0.0,0.45801526717557256,0.45801526717557256,,154.0,1179.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Ömer Beyaz,mer beyaz,588020,2024-09-03,79,6890,L1,TR1,0.0,0.0,0.0,,1299.0,179.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Guillermo Ochoa,guillermo ochoa,29559,2024-09-02,380,110302,IT1,PO1,0.0,0.0,0.0,1.0,1710.0,1530.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Willian,willian,52769,2024-09-02,931,683,GB1,GR1,0.2696917808219178,0.11968085106382978,-0.15001092975808802,1.0,2336.0,752.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Pantelis Hatzidiakos,pantelis hatzidiakos,144244,2024-09-02,1390,190,IT1,DK1,0.0,0.22167487684729065,0.22167487684729065,0.0,1073.0,1624.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Terence Kongolo,terence kongolo,152651,2024-09-02,931,132,GB1,NL1,,0.0,,,0.0,608.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Jordan Lotomba,jordan lotomba,313094,2024-09-02,417,234,FR1,NL1,0.05008347245409015,0.3511053315994799,0.3010218591453897,0.0,1797.0,769.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Gui Ramos,gui ramos,340521,2024-09-02,41,2423,L1,PO1,,0.0,,,0.0,255.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Bilal Boutobba,bilal boutobba,344151,2024-09-02,3524,7775,FR1,TR1,0.1997780244173141,0.4927007299270073,0.29292270550969324,0.0,901.0,1096.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Andreas Bruus,andreas bruus,345748,2024-09-02,1095,1053,FR1,DK1,,0.0,,,0.0,1035.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Ismail Jakobs,ismail jakobs,375137,2024-09-02,162,141,FR1,TR1,0.1641337386018237,0.08093525179856116,-0.08319848680326254,1.0,1645.0,1112.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Tiago Djaló,tiago djal,420465,2024-09-02,506,720,IT1,PO1,0.0,0.08014247551202137,0.08014247551202137,,16.0,1123.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
João Ferreira,joo ferreira,481623,2024-09-02,1010,1075,GB1,PO1,0.0510783200908059,0.044932601098352475,-0.006145718992453426,0.0,1762.0,2003.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Mileta Rajovic,mileta rajovic,525919,2024-09-02,1010,206,GB1,DK1,0.9097051563581279,0.7212822796081922,-0.40668288180712353,,137.0,1123.0,1,0,365.0,,,1,0,1,0,0,0,0,0,1
Leonardo Buta,leonardo buta,653415,2024-09-02,410,979,IT1,PO1,0.04920721705850191,0.0,-0.04920721705850191,1.0,1829.0,507.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Foe Ondoa,foe ondoa,1143375,2024-09-02,1423,1465,FR1,PO1,,,,,0.0,0.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Güven Yalçın,gven yaln,341019,2024-09-01,252,8024,IT1,PO1,0.5474964904071128,0.4631217838765009,-0.08437470653061191,0.0,2137.0,583.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
